config,phase,elapsed_s,sim_frame,speed_cmd_mps,speed_mps,throttle,brake,gear,speed_error_mps,speed_error_integral,throttle_ff
A_RESET_CURRENT,decel,0.12,2515727,0.5,0.7103690624538687,0.0,0.17107342183589935,1,-0.21384177211723032,0.0,0.515
A_RESET_CURRENT,decel,0.14,2515728,0.5,0.7058627605655575,0.0,0.1682952493429184,1,-0.21036906245386866,0.0,0.515
A_RESET_CURRENT,decel,0.16,2515729,0.5,0.7004230976243571,0.0,0.16469021141529083,1,-0.20586276056555752,0.0,0.515
A_RESET_CURRENT,decel,0.18,2515730,0.5,0.6941238403396713,0.0,0.16033847630023956,1,-0.20042309762435706,0.0,0.515
A_RESET_CURRENT,decel,0.2,2515731,0.5,0.6870246410404638,0.0,0.15529906749725342,1,-0.19412384033967134,0.0,0.515
A_RESET_CURRENT,decel,0.22,2515732,0.5,0.679179477692865,0.0,0.1496197134256363,1,-0.1870246410404638,0.0,0.515
A_RESET_CURRENT,decel,0.24,2515733,0.5,0.6706445693972617,0.0,0.14334358274936676,1,-0.17917947769286502,0.0,0.515
A_RESET_CURRENT,decel,0.26,2515734,0.5,0.6614834308624731,0.0,0.13651566207408905,1,-0.1706445693972617,0.0,0.515
A_RESET_CURRENT,decel,0.28,2515735,0.5,0.6517683506012161,0.0,0.129186749458313,1,-0.16148343086247308,0.0,0.515
A_RESET_CURRENT,decel,0.3,2515736,0.5,0.6415822505952155,0.0,0.1214146837592125,1,-0.15176835060121607,0.0,0.515
A_RESET_CURRENT,decel,0.32,2515737,0.5,0.6310160160072181,0.0,0.11326579749584198,1,-0.14158225059521545,0.0,0.515
A_RESET_CURRENT,decel,0.34,2515738,0.5,0.6201646804839623,0.0,0.10481281578540802,1,-0.13101601600721813,0.0,0.515
A_RESET_CURRENT,decel,0.36,2515739,0.5,0.6091217041105976,0.0,0.09613174200057983,1,-0.12016468048396234,0.0,0.515
A_RESET_CURRENT,decel,0.38,2515740,0.5,0.5979735374680815,0.0,0.08729736506938934,1,-0.10912170411059763,0.0,0.515
A_RESET_CURRENT,decel,0.4,2515741,0.5,0.586794853262999,0.0,0.078378826379776,1,-0.09797353746808146,0.0,0.515
A_RESET_CURRENT,decel,0.42,2515742,0.5,0.5756445408979126,0.0,0.06943587958812714,1,-0.08679485326299896,0.0,0.515
A_RESET_CURRENT,decel,0.44,2515743,0.5,0.5645660879446937,0.0,0.0605156309902668,1,-0.07564454089791262,0.0,0.515
A_RESET_CURRENT,decel,0.46,2515744,0.5,0.5535886768733382,0.0,0.05165287107229233,1,-0.06456608794469365,0.0,0.515
