kp_brake,phase,elapsed_s,sim_frame,speed_cmd_mps,speed_mps,throttle,brake,gear,manual_gear_shift,speed_error_mps
0.8,decel,0.52,2434896,0.5,0.521400644369888,0.0,0.025599518790841103,1,0,-0.031999398541909696
0.8,decel,0.54,2434897,0.5,0.5109460859163157,0.4967152774333954,0.0,1,0,-0.021400644369887978
0.8,decel,0.56,2434898,0.5,0.5009880103573205,0.5055534839630127,0.0,1,0,-0.01094608591631574
0.8,decel,0.58,2434899,0.5,0.48758483240865996,0.5140135288238525,0.0,1,0,-0.0009880103573205457
0.8,decel,0.6,2434900,0.5,0.4763039605395041,0.5254608392715454,0.0,1,0,0.012415167591340037
0.8,decel,0.62,2434901,0.5,0.46671032999580897,0.535153865814209,0.0,1,0,0.02369603946049592
0.8,decel,0.64,2434902,0.5,0.4586895471513519,0.5434548854827881,0.0,1,0,0.03328967000419103
0.8,decel,0.66,2434903,0.5,0.452064514522177,0.550454318523407,0.0,1,0,0.041310452848648094
0.8,decel,0.68,2434904,0.5,0.44666390444001774,0.5562965273857117,0.0,1,0,0.047935485477823
0.8,decel,0.7000000000000001,2434905,0.5,0.44232544917878575,0.5611217617988586,0.0,1,0,0.053336095559982255
0.8,decel,0.72,2434906,0.5,0.43889932648192237,0.5650631785392761,0.0,1,0,0.057674550821214254
0.8,decel,0.74,2434907,0.5,0.4362484456546298,0.568244218826294,0.0,1,0,0.06110067351807763
0.8,decel,0.76,2434908,0.5,0.4342508317434032,0.5707780122756958,0.0,1,0,0.06375155434537022
0.8,decel,0.78,2434909,0.5,0.4327998639559558,0.5727652311325073,0.0,1,0,0.06574916825659682
0.8,decel,0.8,2434910,0.5,0.4318036080852252,0.5742942690849304,0.0,1,0,0.06720013604404418
0.8,decel,0.8200000000000001,2434911,0.5,0.43118281379301326,0.5754411220550537,0.0,1,0,0.06819639191477478
0.8,decel,0.84,2434912,0.5,0.4308701516707183,0.5762715935707092,0.0,1,0,0.06881718620698674
0.8,decel,0.86,2434913,0.5,0.43080868736108513,0.5768415331840515,0.0,1,0,0.0691298483292817
0.8,decel,0.88,2434914,0.5,0.43094983115720364,0.5771982073783875,0.0,1,0,0.06919131263891487
0.8,decel,0.9,2434915,0.5,0.4312526704305678,0.5773820877075195,0.0,1,0,0.06905016884279636
0.8,decel,0.92,2434916,0.5,0.43168368352969233,0.5774271488189697,0.0,1,0,0.06874732956943219
0.8,decel,0.9400000000000001,2434917,0.5,0.4322149277972132,0.5773614048957825,0.0,1,0,0.06831631647030767
0.8,decel,0.96,2434918,0.5,0.4328236104176747,0.5772081017494202,0.0,1,0,0.06778507220278679
0.8,decel,0.98,2434919,0.5,0.433490944008094,0.5769862532615662,0.0,1,0,0.0671763895823253
0.8,decel,1.0,2434920,0.5,0.43420147904479023,0.5767117142677307,0.0,1,0,0.06650905599190599
0.8,decel,1.02,2434921,0.5,0.4349427223948732,0.5763972401618958,0.0,1,0,0.06579852095520977
0.8,decel,1.04,2434922,0.5,0.43570432669228243,0.5760534405708313,0.0,1,0,0.0650572776051268
0.8,decel,1.06,2434923,0.5,0.4364780426545088,0.5756889581680298,0.0,1,0,0.06429567330771757
0.8,decel,1.08,2434924,0.5,0.4372572422452549,0.5753108263015747,0.0,1,0,0.06352195734549121
0.8,decel,1.1,2434925,0.5,0.43803653720459684,0.5749245882034302,0.0,1,0,0.06274275775474508
0.8,decel,1.12,2434926,0.5,0.4388117790492997,0.5745348334312439,0.0,1,0,0.06196346279540316
0.8,decel,1.1400000000000001,2434927,0.5,0.43957953455175974,0.5741450786590576,0.0,1,0,0.06118822095070031
0.8,decel,1.16,2434928,0.5,0.4403374672097729,0.5737583637237549,0.0,1,0,0.06042046544824026
0.8,decel,1.18,2434929,0.5,0.4410834789398928,0.5733765959739685,0.0,1,0,0.059662532790227096
0.8,decel,1.2,2434930,0.5,0.4418162345977207,0.5730017423629761,0.0,1,0,0.058916521060107196
0.8,decel,1.22,2434931,0.5,0.44253463745780486,0.5726348757743835,0.0,1,0,0.05818376540227932
0.8,decel,1.24,2434932,0.5,0.44323806763169493,0.5722771286964417,0.0,1,0,0.05746536254219514
0.8,decel,1.26,2434933,0.5,0.4439259529147205,0.5719289183616638,0.0,1,0,0.05676193236830507
0.8,decel,1.28,2434934,0.5,0.4445982456230274,0.5715909600257874,0.0,1,0,0.05607404708527952
0.8,decel,1.3,2434935,0.5,0.44525485038912266,0.5712632536888123,0.0,1,0,0.05540175437697259
0.8,decel,1.32,2434936,0.5,0.4458958148966615,0.5709460377693176,0.0,1,0,0.05474514961087734
0.8,decel,1.34,2434937,0.5,0.44652137756413435,0.5706393122673035,0.0,1,0,0.054104185103338476
0.8,decel,1.36,2434938,0.5,0.4471316814426646,0.5703428387641907,0.0,1,0,0.05347862243586565
0.8,decel,1.3800000000000001,2434939,0.5,0.4477271556856568,0.5700567364692688,0.0,1,0,0.052868318557335425
0.8,decel,1.4000000000000001,2434940,0.5,0.4483080387116726,0.5697805881500244,0.0,1,0,0.0522728443143432
0.8,decel,1.42,2434941,0.5,0.44887475967413176,0.569514274597168,0.0,1,0,0.051691961288327426
0.8,decel,1.44,2434942,0.5,0.4494276523590342,0.5692574977874756,0.0,1,0,0.05112524032586824
0.8,decel,1.46,2434943,0.5,0.4499671936035238,0.5690100789070129,0.0,1,0,0.0505723476409658
0.8,decel,1.48,2434944,0.5,0.4504938602447523,0.5687716007232666,0.0,1,0,0.050032806396476226
0.8,decel,1.5,2434945,0.5,0.4510078430175781,0.5685417652130127,0.0,1,0,0.0495061397552477
0.8,decel,1.52,2434946,0.5,0.4515098094940198,0.5683204531669617,0.0,1,0,0.048992156982421875
0.8,decel,1.54,2434947,0.5,0.4519999504089388,0.5681071281433105,0.0,1,0,0.04849019050598019
0.8,decel,1.56,2434948,0.5,0.4524787425994911,0.5679017305374146,0.0,1,0,0.04800004959106119
0.8,decel,1.58,2434949,0.5,0.4529465198516899,0.5677038431167603,0.0,1,0,0.04752125740050889
0.8,decel,1.6,2434950,0.5,0.45340361595154344,0.5675132274627686,0.0,1,0,0.04705348014831012
0.8,decel,1.62,2434951,0.5,0.45385050773621155,0.5673297643661499,0.0,1,0,0.04659638404845656
0.8,decel,1.6400000000000001,2434952,0.5,0.4542873382568399,0.5671529173851013,0.0,1,0,0.04614949226378845
0.8,decel,1.6600000000000001,2434953,0.5,0.45471458435058987,0.5669827461242676,0.0,1,0,0.04571266174316008
0.8,decel,1.68,2434954,0.5,0.4551324844360364,0.56681889295578,0.0,1,0,0.04528541564941013
0.8,decel,1.7,2434955,0.5,0.4555413246154787,0.5666610598564148,0.0,1,0,0.04486751556396362
0.8,decel,1.72,2434956,0.5,0.45594134330749514,0.5665091872215271,0.0,1,0,0.04445867538452131
0.8,decel,1.74,2434957,0.5,0.4563328742980963,0.5663630366325378,0.0,1,0,0.04405865669250486
0.8,decel,1.76,2434958,0.5,0.45671615600586113,0.5662223696708679,0.0,1,0,0.043667125701903675
0.8,decel,1.78,2434959,0.5,0.4570915222168007,0.566087007522583,0.0,1,0,0.04328384399413887
0.8,decel,1.8,2434960,0.5,0.4574590682983451,0.5659567713737488,0.0,1,0,0.042908477783199284
0.8,decel,1.82,2434961,0.5,0.45781908035278873,0.5658314824104309,0.0,1,0,0.042540931701654905
0.8,decel,1.84,2434962,0.5,0.4581717967987128,0.5657110810279846,0.0,1,0,0.04218091964721127
0.8,decel,1.86,2434963,0.5,0.4585174560546985,0.5655953288078308,0.0,1,0,0.04182820320128722
